sample	unit	platform	fq1	fq2
7014	L2	BGI	raw/7014_L2_R1.fastq.gz	raw/7014_L2_R2.fastq.gz
7015	L5	BGI	raw/7015_L5_R1.fastq.gz	raw/7015_L5_R2.fastq.gz
7015	L6	BGI	raw/7015_L6_R1.fastq.gz	raw/7015_L6_R2.fastq.gz
703	L1	BGI	raw/703_L1_R1.fastq.gz	raw/703_L1_R2.fastq.gz
703	L2	BGI	raw/703_L2_R1.fastq.gz	raw/703_L2_R2.fastq.gz
704	L1	BGI	raw/704_L1_R1.fastq.gz	raw/704_L1_R2.fastq.gz
704	L2	BGI	raw/704_L2_R1.fastq.gz	raw/704_L2_R2.fastq.gz
706	L1	BGI	raw/706_L1_R1.fastq.gz	raw/706_L1_R2.fastq.gz
706	L2	BGI	raw/706_L2_R1.fastq.gz	raw/706_L2_R2.fastq.gz
707	L1	BGI	raw/707_L1_R1.fastq.gz	raw/707_L1_R2.fastq.gz
707	L2	BGI	raw/707_L2_R1.fastq.gz	raw/707_L2_R2.fastq.gz
7859	L5	BGI	raw/7859_L5_R1.fastq.gz	raw/7859_L5_R2.fastq.gz
7859	L6	BGI	raw/7859_L6_R1.fastq.gz	raw/7859_L6_R2.fastq.gz
7869	L5	BGI	raw/7869_L5_R1.fastq.gz	raw/7869_L5_R2.fastq.gz
7869	L6	BGI	raw/7869_L6_R1.fastq.gz	raw/7869_L6_R2.fastq.gz
8514	L1	BGI	raw/8514_L1_R1.fastq.gz	raw/8514_L1_R2.fastq.gz
8514	L2	BGI	raw/8514_L2_R1.fastq.gz	raw/8514_L2_R2.fastq.gz
9559	L1	BGI	raw/9559_L1_R1.fastq.gz	raw/9559_L1_R2.fastq.gz
9559	L2	BGI	raw/9559_L2_R1.fastq.gz	raw/9559_L2_R2.fastq.gz
9560	L5	BGI	raw/9560_L5_R1.fastq.gz	raw/9560_L5_R2.fastq.gz
9560	L6	BGI	raw/9560_L6_R1.fastq.gz	raw/9560_L6_R2.fastq.gz
981	L1	BGI	raw/981_L1_R1.fastq.gz	raw/981_L1_R2.fastq.gz
981	L2	BGI	raw/981_L2_R1.fastq.gz	raw/981_L2_R2.fastq.gz
983	L1	BGI	raw/983_L1_R1.fastq.gz	raw/983_L1_R2.fastq.gz
983	L2	BGI	raw/983_L2_R1.fastq.gz	raw/983_L2_R2.fastq.gz
984	L5	BGI	raw/984_L5_R1.fastq.gz	raw/984_L5_R2.fastq.gz
984	L6	BGI	raw/984_L6_R1.fastq.gz	raw/984_L6_R2.fastq.gz
