Sample,Raw Total Sequences,Reads Mapped,MapQ 30,Reads Unmapped,Reads Duplicated,Reads MQ0,Average Length,Maximum Length,Average Quality,Insert Size Average,Insert Size Std Dev,Percentage Properly Paired,Mean Insert Size,Std Insert Size,Median Insert Size,Mean Mapping Quality,Mean Coverage,Std Coverage,Coverage 1X,Coverage 5X,Coverage 10X,Coverage >15X
4381,48212110,48210125,44794037,1985,905729,2327981,143,150,39.1,293.4,89.7,97.5,"45,786.0247","1,776,957.2716",282,56.1733,2.8565X,5.3543X,87.07,18.47,1.08,0.28
Pp130701s,174729576,174719509,157125121,10067,15875148,14331212,136,150,36.2,205.7,95.1,97.7,"49,109.7354","1,909,328.7277",192,56.6752,9.874X,30.7325X,99.29,85.67,42.74,12.19
3032,201914288,201900383,179122113,13905,18923343,18298501,138,150,36.1,230.6,110.7,96.8,"67,540.4603","2,199,998.4517",215,56.4387,11.5426X,47.4407X,99.53,91.55,54.72,18.87
7015,79084468,79081525,64633902,2943,9236108,10239570,142,150,38.9,259.2,69.3,97.1,"44,621.7497","1,727,527.6093",250,54.9403,4.6532X,49.6498X,86.77,34.4,7.46,1.77
A1993-05153,239748406,239690051,219158088,58355,32280404,16331168,138,150,36.1,240.3,117.0,97.9,"45,683.8761","1,802,213.1643",223,56.9227,13.784X,43.156X,99.62,95.09,71.77,35.89
IFR4,90448756,90441521,78056004,7235,6940081,9210598,145,150,39.3,273.2,20.2,95.8,"54,782.9698","1,937,958.6446",276,56.2009,5.5027X,33.2168X,89.73,45.87,13.18,2.53
4393,149698090,149691183,139747296,6907,5080447,6890798,144,150,39.1,284.1,88.2,97.9,"38,291.7188","1,619,738.768",269,56.3489,8.9215X,14.7146X,98.57,83.67,37.93,8.86
U93,100313712,100309129,92420808,4583,7680329,5797652,145,150,39.3,269.5,16.7,98.0,"22,617.522","1,253,005.4292",271,57.0219,6.1228X,30.2186X,96.1,58.39,15.05,2.35
C2009-04450,196674198,196650238,178548977,23960,23011384,14527278,138,150,36.0,240.5,114.7,97.6,"51,306.3467","1,916,276.96",224,56.792,11.3306X,34.6911X,99.6,91.64,55.11,19.26
2000-24,97152588,97140767,85946856,11821,8009374,8308673,145,150,39.3,270.6,16.8,97.3,"29,657.0575","1,422,280.6038",272,56.6581,5.9206X,29.2368X,95.3,53.97,12.66,1.88
A2020-05733,233276916,233235275,208745571,41641,28080942,18787058,139,150,36.1,246.2,117.6,97.2,"59,868.4026","2,060,866.466",230,56.5864,13.4345X,41.004X,99.37,91.27,64.76,33.74
mon-mon_CP-4187-10X,673799398,672606947,483071768,1192451,93479472,121080929,143,150,39.0,531.7,1326.2,76.0,"369,862.5786","4,789,210.7102",297,50.8681,35.5589X,"1,056.8753X",98.26,97.09,95.31,90.58
706,90393498,90384691,81033918,8807,9821712,6844805,139,150,38.4,359.0,109.1,93.4,"151,728.3571","3,275,087.8328",352,56.6912,5.2521X,18.0818X,97.32,50.26,6.17,0.64
A1997-05187,209619158,209603948,189374925,15210,29177840,16163714,139,150,36.1,252.5,122.5,98.9,"22,623.482","1,300,934.303",235,56.8446,12.1952X,50.8954X,99.65,93.43,60.63,23.19
RIM99,115447240,115377780,102951972,69460,9256335,8984771,145,150,39.4,266.8,19.9,96.1,"41,004.8836","1,689,851.361",269,56.5888,7.0076X,36.4095X,96.53,63.68,20.86,4.28
